Кодзима - ...?|гений
Богатый покровитель наук и искусств.|меценат
Приспособление для размешивания.|мешалка
Кормовая смесь из травы, сена, с добавлением муки и воды.|мешанка
Смешанный посев кормовых или продовольственных растений, убираемых одновременно.|мешанка
Приступы головной боли, обычно в одной половине головы.|мигрень
Название пятого, самого короткого пальца руки, ноги.|мизинец
Административный орган государства, осуществляющий охрану общественного порядка, ведущий борьбу с преступностью.|милиция
Доброе, великодушное отношение.|милость
Доброе дело, добрый, милосердный поступок; благодеяние.|милость
Хорошенькая, милая женщина, девушка, девочка.|милочка
Высокая башня при мечети, с которой муэдзин призывает мусульман на молитву.|минарет
Естественное неорганическое образование кристаллической структуры, приблизительно однородное по химическому составу и физическим свойствам, залегающее в глубинах или на поверхности Земли и обычно служащее предметом добычи как полезное ископаемое.|минерал
Богиня мудрости, покровительница наук, искусств и ремесел (в древнеримской мифологии).|минерва
Наименьшее количество наименьшая величина.|минимум
Минимальная совокупность необходимого.|минимум
Член правительства, возглавляющий министерство.|министр
Артиллерийское орудие, предназначенное для навесной стрельбы минами.|миномет
Испанская порода яйценоских кур с белыми и черными перьями.|минорка
Прибор для записи графического изображения мышечных сокращений.|миограф
Средневековое драматическое представление религиозно-назидательного характера, изображавшее чудо, совершенное святым или Богоматерью.|миракль
Средневековое литературное произведение религиозного содержания, обычно стихотворное.|миракль
Бесчисленное количество, неисчислимое множество.|мириады
Религиозная вера в непосредственное общение человека с потусторонним миром.|мистика
Древнерусский полусферический шлем с железной сеткой для защиты шеи воина.|мисюрка
Женские перчатки без пальцев.|митенки
Неотделанная тонкая хлопчатобумажная ткань полотняного переплетения.|миткаль
Типографский шрифт среднего размера, равный 14 пунктам.|миттель
Вегетативное тело гриба, состоящее из одноклеточных и многоклеточных нитей; грибница.|мицелий
Частицы малых размеров, окруженные жидкой средой (в коллоидных растворах).|мицеллы
Помещение, приспособленное и оборудованное для мойки.|моечная
Вид декоративного прикладного искусства.|мозаика
Картина, узор из закрепленных на слое цемента или мастики разноцветных кусочков стекла, мрамора, цветных камней и т.п.|мозаика
Детская игра, в которой нужно составлять рисунки, узоры из разноцветных элементов.|мозаика
Мелкое наземное ракообразное животное отряда равноногих, живущее в сырых теплых местах.|мокрица
Однолетнее травянистое сорное растение семейства гвоздичных с лежачими стеблями и мелкими белыми звездчатыми цветочками, растущее в сырых и затененных местах; звездчатка средняя.|мокрица
Слизистое или гнойное выделение из дыхательных путей и легких.|мокрота
Этнографическая группа мордовского народа.|мокшане
Богослужение с хвалебным, благодарственным или просительным обращением к Богу, Богородице или святым.|молебен
Хвалебное, благодарственное или просительное обращение к Богу, святым.|молитва
Установленный текст, читаемый или произносимый верующим при обращении к Богу, к святым.|молитва
Молодая курица.|молодка
Супруги, недавно вступившие в брак; молодожены.|молодые
Травянистое сорное растение семейства сложноцветных с небольшими цветками, собранными в метельчатое соцветие, содержащее ядовитый млечный сок.|молокан
Ручной инструмент в виде металлического или деревянного бруска, насаженного под прямым углом на рукоятку, служащий для забивания нанесения ударов по.|молоток
Устройство, машина ударного действия.|молоток
Травянистое или кустарниковое растение, в стеблях и листьях которого содержится ядовитый млечный сок, используемый в медицине и парфюмерии.|молочай
Народное название некоторых видов шляпочных грибов, выделяющих при разламывании белый млечный сок.|молочай
Жидкость, образующаяся в зобу или в особых железах некоторых птиц и насекомых для кормления птенцов, личинок (в биологии).|молочко
Минерал желтоватого или красновато-бурого цвета, содержащий редкоземельные металлы.|монацит
Народ, составляющий основное население Монголии.|монголы
Ожерелье из монет, разноцветных камней и т.п.|монисто
Контролирующее или видеоконтролирующее устройство.|монитор
Телевизионный, компьютерный экран.|монитор
Круглое оптическое стекло для одного глаза в оправе или без нее, вставляемое в глазную впадину и употреблявшееся вместо очков.|монокль
Крупная цельная каменная глыба.|монолит
Образец почвы с ненарушенной структурой и сложением, показывающий строение почвы в вертикальном разрезе (в почвоведении).|монолит
Форма речи, развернутое высказывание одного лица, обращенное к слушателям или к самому себе.|монолог
Речь действующего лица, выключенная из разговорного общения персонажей, не предполагающая непосредственного отклика (в литературном произведении).|монолог
Типографская наборная буквоотливная машина, отливающая набор в виде строк, состоящих из отдельных литер и пробельных материалов.|монотип
Тип животного или растительного организма, представленный только одним видом (в биологии).|монотип
Самка моржа.|моржиха
Телеграфист, работающий на аппарате Морзе.|морзист
Приспособление для умерщвления насекомых.|морилка
Едкий состав для глубокого пропитывания древесины с целью окрашивания; протрава.|морилка
Мавританское население Испании, в XVI в. насильственно обращенное в христианство и подвергавшееся ожесточенным преследованиям.|мориски
Овощное и кормовое растение семейства зонтичных со сладковатым корнеплодом удлиненной формы оранжевого цвета, употребляемым в пищу.|морковь
Приверженцы мормонизма как религиозного сектантского течения.|мормоны
Многолетнее травянистое или полукустарниковое растение семейства розовых со съедобными плодами желто-оранжевого цвета, формой напоминающими малину.|морошка
Артиллерийское орудие с коротким стволом для навесной стрельбы, предназначенное обычно для разрушения особо прочных оборонительных сооружений.|мортира
Минимальная значимая часть слова (корень, приставка, суффикс, постфикс).|морфема
Складка, бороздка на коже лица, тела.|морщина
Полярная птица семейства утиных.|морянка
Спортивная командная игра - футбол на мотоциклах.|мотобол
Небольшое моторное судно; моторный бот.|мотобот
Локомотив с двигателем внутреннего сгорания небольшой мощности.|мотовоз
Небольшая ночная чешуекрылая бабочка.|мотылек
Съедобный гриб с темно-коричневой бархатистой шляпкой.|моховик
Большой винт с квадратной или шестигранной головкой.|моховик
Минерал, разновидность халцедона, с ветвящимися волокнистыми и чешуйчатыми включениями, напоминающими мох.|моховик
Пучок мочала или других волокон, употребляемый для мытья, вытирания грязи и т.п.|мочалка
Кожно-мышечный мешочек, в котором расположены половые железы у мужчин и у самцов большинства млекопитающих.|мошонка
Лицо, противоположное по полу женщине.|мужчина
Автомобиль с кузовом-цистерной для перевозки муки.|муковоз
Мелкое насекомое подотряда жалящих перепончатокрылых, живущее большими сообществами.|муравей
Мелкие пупырышки, появляющиеся на коже от холода, озноба.|мурашки
Одичавшая домашняя лошадь.|мустанг
Физический или химический фактор, вызывающий мутацию.|мутаген
Возникающее естественно или вызываемое искусственно стойкое изменение наследственных свойств организма.|мутация
Изменение голоса у подростков, наблюдаемое с наступлением полового созревания.|мутация
Группа листьев, ветвей или цветков, расположенных на стебле на одной высоте.|мутовка
Предмет кухонной утвари в виде лопатки, палочки с крестовинкой, кружком, спиралью и т.п. на конце для взбалтывания, взбивания.|мутовка
Южный колючий кустарник или деревце семейства розоцветных со съедобными сладкими мучнистыми грушевидными плодами.|мушмула
Служитель при мечети, призывающий с минарета мусульман на молитву.|муэдзин
Детеныш мыши.|мышонок
То, чем набито, наполнено.|набивка
Узор, набиваемый на ткань.|набойка
Нижний слой на каблуке.|набойка
Выкладка из огнеупорной набивной массы или из огнеупорного кирпича, предохраняющая от действия высокой температуры металлические стены трубопровода или кожухи металлургических печей.|набойка
Крен неверно нагруженного судна.|навалка
Петля, на которую навешивается (дверь, ставни, створки и т.п.).|навеска
Точно отвешенное количество вещества для химической реакции или химического анализа.|навеска
скрученное, намотанное.|навиток
Ось канала ствола орудия, установленная в соответствующем направлении.|наводка
Короткая, толстая плеть из ремней.|нагайка
Плоскогорье, возвышенность.|нагорье
Вознаграждение за заслуги, отличия.|награда
Ожидание благоприятного, в сочетании с уверенностью в его осуществлении.|надежда
То, на что можно надеяться, опереться, положиться; оплот.|надежда
Железобетонные тумбы, рельсы или бревна, врытые в землю, применяемые как противотанковое заграждение.|надолбы
Короткий текст, помещенный на внешней стороне.|надпись
Древний текст на твердом материале.|надпись
Тренировка лошади для езды.|наездка
Приманка для ловли рыб, зверей, птиц.|наживка
Род напильника, которым выпиливают в пилах зубья.|назубок
Народная инструментальная мелодия, обычно плясовая.|наигрыш
Отсутствие непосредственности, нарочитость в актерской игре.|наигрыш
Вращающийся валик, цилиндр и т.п., которым накатывается краска, клей, резьба и т.п. на поверхность.|накатка
Приспособление для накатывания, наматывания тканей, лент, бумаги и т.п.; накатная машина.|накатка
Верхняя одежда без рукавов, вроде плаща.|накидка
Женский головной убор в виде покрывала, спускающегося с головы на плечи и спину.|накидка
Покрывало для подушек на постели.|накидка
Украшение из материи или кружева, накалываемое женщинами на прическу.|наколка
Шулерская пометка на карте, сделанная накалыванием (в картежной игре).|наколка
Подставка в виде шкафчика для установки магнитного компаса на судне.|нактоуз
Подготовка (машины, станка, механизма) к работе.|наладка
Брак, пятно на ткани от соприкосновения ее с плохо просушенной краской при запарке.|належка
Спиртной напиток, сладкая настойка на фруктах или ягодах.|наливка
Существование, присутствие.|наличие
Слой льда на поверхности наморозь.|намерзь
Шест с делениями, употребляемый на речных судах для измерения глубины реки.|наметка
Нитка, которой наметывают, скрепляют широкими стежками части шьющегося изделия.|наметка
Небольшая рыболовная сеть, прикрепленная к длинной жерди.|наметка
Количество намолоченного зерна.|намолот
Народность тунгусо-маньчжурской языковой группы, живущая в пределах Дальневосточного края в бассейне реки Амура (прежнее название - гольды).|нанайцы
Придирки, притеснения.|нападки
Напаянный на кусок металла.|напайка
Род бурава.|напарье
Специально приготовленная жидкость для питья.|напиток
Прибой, накат волн.|наплеск
Винтообразно расположенные углубления на болтах, гайках и т.п., а также в нарезных стволах оружия.|нарезка
Совокупность местных говоров, диалектов языка, обладающих общими чертами.|наречие
Неизменяемая часть речи, обозначающая признак действия, реже - качества (в лингвистике).|наречие
Надрубленное место; насечка, зарубка.|нарубка
Препарат опия, употребляемый в медицине.|нарцеин
Садовое луковичное растение семейства амариллисовых с белыми или желтыми пахучими цветками.|нарцисс
Часть прибора или инструмента, насаживаемая.|насадка
Приманка, надеваемая на рыболовный крючок; наживка.|насадка
Курица, которая высиживает или уже водит цыплят.|наседка
Зарубка, нарезка.|насечка
Узор, вырезанный по металлу или другому материалу и проложенный другим металлом или, соответственно, другим материалом.|насечка
Применение физической силы.|насилие
Применение силы для достижения принудительное воздействие.|насилие
Воспаление слизистой оболочки носовой полости, сопровождающееся слизисто-гнойными отделениями и чиханьем.|насморк
Количество шерсти, получаемое от стрижки овцы за время.|настриг
Инструмент для строгания дерева.|наструг
Обучение охоте на зверя, птицу (обычно о собаке).|натаска
Повязка, накладываемая на усы для придания им определенной формы.|наусник
Сумма, на которую повышена цена.|наценка
То, чем начинено (о съедобном).|начинка
Отсутствие существования, жизни, бытия.|небытие
Отсутствие веры, уверенности в осуществлении.|неверие
Отсутствие веры в Бога; атеизм.|неверие
Девушка или женщина, вступающая в брак.|невеста
Неуплата, неплатеж (взносов).|невзнос
Опухоль из мякотных или безмякотных нервных волокон.|неврома
Безотлучное проживание в одном месте.|невыезд
Отсутствие связи, согласованности в неувязка.|невязка
Несхождение линий в чертеже вследствие допущенных ошибок.|невязка
Изображение на светочувствительной пластинке или пленке, в котором в черно-белой фотографии светлые места получаются темными, а темные - светлыми, а в цветной фотографии цвета на пленке не соответствуют натуральным.|негатив
Безнравственный, подлый, низкий человек.|негодяй
Неполный сбор.|недобор
Неполный комплект.|недобор
Количество, недостающее до полного веса.|недовес
Неполное, недостаточное сгорание.|недогар
Недостаточный обжиг, прокалка.|недожог
Недостаточное, неполное сгорание.|недожог
Меньшее, чем предполагалось, количество скошенного.|недокос
Место, оставшееся нескошенным.|недокос
Падение летящего предмета ближе намеченной цели.|недолет
Неполный объем налитой жидкости в сосуде.|недолив
Неурожай.|недород
Недостаточная соленость.|недосол
Отсутствие свободного времени; занятость.|недосуг
Неполное насыпание; насыпание в размерах меньших, чем нужно.|недосып
Рыболовное орудие из редко вытканного холста, сшитого в два полотнища.|недотка
Недостача обнаруженная при подсчете.|недочет
Погрешность, недостаток, ошибка.|недочет
Электрически нейтральная элементарная частица.|нейтрон
Нежелание, отсутствие охоты.|неохота
Морская нимфа, одна из пятидесяти дочерей морского божества Нерея, имена которых указывают на изменчивость, глубину и прихотливость моря (в древнегреческой мифологии).|нереида
Кольчатый морской червь.|нереида
Подводные растения, растущие на камнях и скалах.|нереиды
Ушастый тюлень.|нерпуха
Выполнение обязанностей, поручений.|несение
Курица, которая несет яйца.|несушка
Отсутствие удачи, неуспех.|неудача
Отсутствие успеха; неудача.|неуспех
Минерал щелочных изверженных горных пород, бедных кремнеземом; употребляется для удобрения и в различных производствах.|нефелин
Птица отряда сов.|неясыть
Геодезический прибор для определения относительных высот различных точек земной поверхности.|нивелир
Местность, расположенная по нижнему течению реки.|низовье
Нижняя часть течения реки.|низовье
Бесчестный, низкий поступок.|низость
Сплав меди и никеля с примесями железа, марганца и цинка.|никелин
Одна из никелевых руд; красный никелевый колчедан.|никелин
Наркотическое вещество, содержащееся в табаке.|никотин
Уплотняющая соединительная деталь в виде металлической трубки с резьбой на концах.|ниппель
Блаженное состояние отрешенности от жизни, освобождения от житейских забот и стремлений (в буддизме и некоторых других религиях).|нирвана
Непроизвольные, ритмические судорожные движения глазных яблок.|нистагм
Соединения азота с металлами и некоторыми металлоидами; неплавкие вещества, устойчивые при высоких температурах.|нитриды
Название солей азотистой кислоты.|нитриты
Живущая подаянием, занимающаяся нищенством женщина.|нищенка
Неимущая, бедная женщина.|нищенка
Небольшая повесть, рассказ.|новелла
Новое дополнение к своду законов, уставу и т.п.|новелла
Свойство и состояние нового.|новизна
новое, впервые изготовленное, недавно появившееся.|новинка
Новый поселенец, житель.|новосел
Новый или первый отел.|новотел
Повязка или небольшой чулок из материи, кожи или ленточки, надеваемая для приметы на ноги птиц.|ногавка
Род чулок на ногах у лошадей как предохранение от засекания подковами.|ногавка
Народность тюркской языковой группы, живущая в восточных районах Северного Кавказа.|ногайцы
Однолетнее садовое растение семейства сложноцветных с семенами, имеющими форму птичьего коготка, и ярко-желтыми цветками; календула.|ноготки
Конец надклювья у гусей, уток, лебедей и т.п.|ноготок
Инструмент или машина с рабочим органом в виде двух ножей, совместным встречным действием которых производится резание.|ножницы
Один из способов прыжков в высоту (в спорте).|ножницы
Небольшая пила с одной ручкой.|ножовка
Потеря боксером на короткое время от удара противника ориентации и координации движений или падение на пол, после которого боксер быстро поднимается (в боксе).|нокдаун
Небольшое лирическое музыкальное произведение.|ноктюрн
Художественное произведение, изображающее ночь, ночные сцены, настроения.|ноктюрн
Нарицательная стоимость, обозначенная на ценных бумагах (акциях, облигациях) и денежных знаках.|номинал
Перпендикуляр к касательной (прямой или плоскости), проходящий через точку касания (в математике).|нормаль
Приспособление для переноски тяжестей или людей.|носилки
Приспособление для передвижения, заменяющее экипаж, которое носится людьми или вьючными животными.|носилки
Звук, при произнесении которого выдыхаемая струя воздуха проходит через полость носа (в лингвистике).|носовой
Крупное травоядное млекопитающее с одним или двумя рогами на носовых и лобных костях, распространенное в Африке и Юго-Восточной Азии.|носорог
Большой бурый жук с рогом на голове.|носорог
Представитель высшего духовенства, придворного дворянства или городских верхов как член созывавшегося королем собрания (во Франции XIV-XVIII вв.).|нотабль
Наставление, нравоучение, выговор.|нотация
Система условных письменных обозначений, принятая в сфере деятельности.|нотация
Место, предназначенное для ночного сна (обычно не у себя дома).|ночевка
Народность, живущая в Африке, на юге Египта и на севере Судана.|нубийцы
Органическое вещество, богатое фосфором, содержащееся в клеточных ядрах.|нуклеин
Одна из форм колебания по оси вращающегося тела.|нутация
Покоряющее влияние, притягательная сила; очарование (первоначально - колдовская сила).|обаяние
Отделение мяса от костей.|обвалка
То, чем обвивают (проволока, тесемка и т.п.).|обвивка
То, чем обвязывается повязка.|обвязка
Приспособление, соединяющее или скрепляющее части конструкций, сооружения, здания.|обвязка
Украшение, оправа.|обделка
Машина для обдирания древесной коры.|обдирка
Очистка деталей машин и инструментов струей сжатого воздуха.|обдувка
Памятник или архитектурное украшение, сооруженные в виде суживающегося кверху граненого столба.|обелиск
Дополнительный, более высокий тон, сопровождающий основной и придающий ему особый оттенок, тембр; призвук.|обертон
То, чем обернуто.|обертка
Выжатые остатки выжимки.|обжимки
Волокна, оставшиеся от мятья льна.|обжимки
Часть колосьев, оставшихся несжатыми.|обжинок
Монастырь.|обитель
Часть страны; территория, пространство.|область
Административно-территориальная единица России.|область
Район, пределы, в которых распространено явление; зона, пояс.|область
Оболочка из желатина или крахмального теста для порошковых лекарств; капсула.|облатка
Небольшая круглая лепешка, испеченная из пресного пшеничного теста, употребляемая по католическому и протестантскому обряду для причащения.|облатка
Стеклообразный сплав, которым покрывают керамические изделия; глазурь, полива.|обливка
Покрышка, обертка из бумаги, картона для хранения.|обложка
Бумажная обертка книги, тетради (в отличие от твердого переплета).|обложка
Отбитый, отломившийся кусок.|обломок
Передок повозки, на котором сидит кучер, возница.|облучок
Вещество, которым обмазывают.|обмазка
Минерал, содержащий металл, но не имеющий внешних признаков металла.|обманка
Вещь, не содержащая в себе должной меры; недомерок.|обмерок
Остаток, получившийся после отмеривания.|обмерок
Внезапная потеря сознания, вызываемая болезненным состоянием или сильным душевным потрясением.|обморок
То, чем обматывается или обмотано.|обмотка
Широкие полосы ткани, которыми обматывают голени (при коротких брюках).|обмотки
Плохая, короткая шерсть, снимаемая у овцы с ног, живота, хвоста и морды.|обножки
Мастер, изготовляющий ободья.|ободник
Возчик в обозе.|обозник
Военнослужащий обоза.|обозник
Мастер по обивке мебели, стен.|обойщик
Система защитных сооружений.|оборона
Совокупность средств, дающих возможность отражать нападение вооруженного врага, обеспечивающих безопасность страны.|оборона
Боковая часть дороги.|обочина
Окраина, край (леса, поля и т.п.).|обочина
Скат длинной насыпи, возвышенности.|обочина
Отвод у простых саней или край тележного кузова.|обочина
Примерный, показательный или пробный экземпляр изделия, материала и т.п.|образец
Показательный пример качеств, поведения, отношения и т.п.).|образец
Вид, форма, принятые в качестве типовых для изготовления.|образец
Процесс отсечения литников и заливов, входящий в состав операций по очистке литья (в литейном деле).|обрубка
Обрубленный кусок бревна, дерева или коротко обрубленная жердь.|обрубок
Стрельба по цели из орудий, ружей.|обстрел
То, чем обтянуто.|обтяжка
Работник обувной промышленности.|обувщик
Широкие сани, обшитые лубом.|обшевни
То, чем обшито кайма.|обшивка
Внешняя оболочка, обивка домов, помещений, сооружений и т.п.|обшивка
Взаимные сношения, деловая, дружеская связь.|общение
Движение или положение рук, охватывающих для ласки.|объятия
Прибор для определения свежести яиц путем их просвечивания.|овоскоп
Разновидность суслика.|овражек
Маленькая птица отряда воробьиных, питающаяся обычно семенами растений.|овсянка
Парнокопытное животное семейства полорогих с признаками барана и быка.|овцебык
Порода сторожевых собак, используемых для охраны стад, для военной санитарной службы и т.п.|овчарка
Овечий хлев, загон для овец.|овчарня
Предание известности, разглашение.|огласка
Одна из двух жердей, укрепленных концами на передней оси экипажа и служащих для запряжки лошади.|оглобля
Прибор, применяемый как оружие для метания, выбрасывания горящей жидкости.|огнемет
Название нескольких видов небольших бабочек-вредителей.|огневка
Название породы лисиц с красноватой шерстью.|огневка
Грани, нанесенные на камень или стекло.|огранка
Одежда (обычно праздничная, торжественная).|одеяние
Богатые событиями странствия, горестные скитания.|одиссея
Прибор для определения пройденного расстояния.|одометр
Окисел на поверхности раскаленного или остывшего после нагревания металла.|окалина
Итальянский народный музыкальный инструмент в виде глиняной или металлической дудки, напоминающей звуком флейту.|окарина
Материал, которым оклеено (бумага, ткань, кожа и т.п.).|оклейка
Изгородь вокруг всего селения или только при выезде из него.|околица
местн. Окружающая местность; окрестность, округа.|околица
местн. Окольная, кружная дорога.|околица
Травянистое растение с крупными листьями и трубчатыми цветками, растущее по сырым лугам, канавам, берегам рек.|окопник
Край, крайняя часть местности, территории.|окраина
Отдаленная, пограничная область, район государства.|окраина
Цвет, оттенок цвета.|окраска
Холодное кушанье из кваса с зеленью и мелко нарубленным мясом или рыбой.|окрошка
Тело, ограниченное восемью треугольниками; восьмигранник.|октаэдр
Название десятого месяца календарного года.|октябрь
Специалист в области глазных болезней.|окулист
Растение, подвергшееся окулировке.|окулянт
Сельскохозяйственное орудие для окучивания растений.|окучник
Южный вечнозеленый кустарник или небольшое деревце с узкими кожистыми листьями и душистыми белыми, розовыми, реже желтыми цветками.|олеандр
Мясо оленя, употребляемое в пищу.|оленина
Самка оленя.|оленуха
Законопаченная мохом зимняя кладовая, используемая для хранения овощей, для зимовки пчел и т.п.|омшаник
Искусственное - вне полового акта - раздражение половых органов для вызывания оргазма.|онанизм
Учение о яйцах птиц как часть орнитологии.|оология
Посуда для опары.|опарник
Широкий долгополый кафтан с широкими и короткими рукавами (древнерусская одежда).|опашень
То, чем оплетается.|оплетка
Водящееся в Америке животное семейства сумчатых крыс с длинным цепким хвостом и буровато-серым мехом, составляющим объект промысла.|опоссум
Выбор гражданства, обычно предоставляемый населению территории, перешедшей от одного государства к другому.|оптация
Совокупность наиболее благоприятных для условий.|оптимум
Многолетнее растение семейства кактусовых с мясистыми стеблями, плоскими листьями и съедобными плодами.|опунция
Болезненное вздутие, припухлость органов тела или нарост, новообразование в тканях организма.|опухоль
Способ выяснения правоты или виновности тяжущихся сторон путем так называемого "суда Божия": испытанием огнем, водой, раскаленным железом и т.п. (в средневековом судебном процессе).|ордалия
